Respondent,JobSat,MgrIdiot,MgrMoney,MgrWant
65,Very satisfied,Very confident,No,Not sure
66,Very satisfied,NA,NA,NA
67,Very satisfied,Very confident,No,Yes
68,Slightly dissatisfied,Not at all confident,Yes,No
69,Slightly satisfied,Somewhat confident,No,Not sure
70,Slightly dissatisfied,Somewhat confident,No,Not sure
71,Slightly satisfied,Very confident,No,Not sure
72,Slightly satisfied,NA,NA,NA
73,Very satisfied,Somewhat confident,No,No
74,Very satisfied,Very confident,No,No
75,Slightly dissatisfied,Very confident,No,No
76,Very satisfied,Very confident,Yes,Yes
77,Very satisfied,NA,NA,NA
78,Neither satisfied nor dissatisfied,Very confident,No,Not sure
79,Very satisfied,Very confident,Yes,Not sure
80,Very satisfied,Very confident,No,Yes
81,Very satisfied,Very confident,No,No
82,Neither satisfied nor dissatisfied,Not at all confident,Yes,No
83,Very satisfied,Somewhat confident,Not sure,Not sure
84,Slightly satisfied,Somewhat confident,Yes,Yes
85,Very satisfied,NA,NA,NA
86,Slightly dissatisfied,Somewhat confident,Not sure,Not sure
87,Slightly satisfied,Somewhat confident,Yes,Not sure
88,NA,NA,NA,NA
89,NA,NA,NA,NA
90,Very dissatisfied,I don't have a manager,Yes,No
91,Very dissatisfied,NA,NA,NA
92,Very satisfied,Somewhat confident,No,Not sure
93,Very satisfied,NA,NA,NA
94,Slightly dissatisfied,Not at all confident,Yes,I am already a manager
95,Very satisfied,Very confident,No,Not sure
96,NA,NA,NA,NA
97,Slightly satisfied,Somewhat confident,Yes,Not sure
98,NA,NA,NA,NA
99,NA,NA,NA,NA
100,Very satisfied,Very confident,Yes,I am already a manager
101,Slightly satisfied,NA,NA,NA
102,Slightly satisfied,Somewhat confident,No,No
103,NA,NA,NA,NA
104,Very dissatisfied,Somewhat confident,No,No
105,Very satisfied,Very confident,No,No
106,Very satisfied,Very confident,Not sure,Not sure
107,Neither satisfied nor dissatisfied,Not at all confident,No,Not sure
108,Very dissatisfied,Very confident,Yes,No
109,Very satisfied,Very confident,Not sure,Not sure
110,Slightly satisfied,Somewhat confident,No,Not sure
111,Slightly satisfied,Very confident,No,No
112,Slightly satisfied,NA,NA,NA
113,Very satisfied,Somewhat confident,No,No
114,Very satisfied,Not at all confident,No,Yes
115,Very satisfied,Somewhat confident,Yes,Yes
116,Very satisfied,Very confident,No,Not sure
117,Slightly dissatisfied,NA,NA,NA
118,Slightly satisfied,Very confident,Not sure,Not sure
119,Slightly dissatisfied,Somewhat confident,No,Not sure
120,Very satisfied,Very confident,Yes,Yes
121,NA,NA,NA,NA
122,Neither satisfied nor dissatisfied,Somewhat confident,No,I am already a manager
123,Very satisfied,Somewhat confident,Yes,Not sure
124,Very satisfied,Very confident,No,Not sure
125,Neither satisfied nor dissatisfied,NA,NA,NA
126,Slightly satisfied,Somewhat confident,No,No
127,Very satisfied,Very confident,No,No
128,Very satisfied,Very confident,No,No
129,Slightly satisfied,Somewhat confident,Yes,Not sure
130,Slightly satisfied,Not at all confident,No,No
131,Slightly dissatisfied,Not at all confident,Not sure,No
132,Very satisfied,Somewhat confident,No,Not sure
133,NA,NA,NA,NA
134,Slightly satisfied,NA,NA,NA
135,Slightly satisfied,Somewhat confident,No,Yes
136,Slightly satisfied,NA,NA,NA
137,Slightly satisfied,Very confident,No,Yes
139,Very satisfied,Very confident,No,Not sure
140,Slightly satisfied,Somewhat confident,Not sure,Not sure
141,NA,NA,NA,NA
142,Slightly satisfied,Very confident,No,No
143,Slightly satisfied,Very confident,Yes,No
144,Slightly satisfied,Somewhat confident,Yes,No
145,NA,NA,NA,NA
146,Slightly satisfied,Very confident,Not sure,No
147,Neither satisfied nor dissatisfied,Not at all confident,Yes,Not sure
148,Slightly satisfied,Somewhat confident,Yes,Yes
149,Neither satisfied nor dissatisfied,Somewhat confident,Yes,Yes
150,Slightly satisfied,Somewhat confident,No,No
151,Slightly satisfied,Somewhat confident,No,Not sure
152,Slightly satisfied,NA,NA,NA
153,Slightly satisfied,Very confident,Yes,Not sure
154,Slightly dissatisfied,NA,NA,NA
155,Very satisfied,Very confident,No,Not sure
156,Slightly dissatisfied,Somewhat confident,Yes,Yes
157,Slightly satisfied,Very confident,No,Not sure
158,Very satisfied,Not at all confident,No,Not sure
159,Neither satisfied nor dissatisfied,Somewhat confident,Yes,No
160,Slightly dissatisfied,NA,NA,NA
161,Slightly satisfied,NA,NA,NA
162,Very satisfied,Very confident,Yes,I am already a manager
163,Slightly dissatisfied,Not at all confident,Not sure,Not sure
164,Slightly satisfied,Very confident,No,Not sure
165,Neither satisfied nor dissatisfied,Somewhat confident,No,No
166,Slightly satisfied,Very confident,No,Not sure
167,Slightly satisfied,Somewhat confident,No,No
168,Neither satisfied nor dissatisfied,NA,NA,NA
169,Neither satisfied nor dissatisfied,NA,NA,NA
170,Very satisfied,Very confident,No,No
171,NA,NA,NA,NA
172,Very dissatisfied,Very confident,Yes,Yes
173,Slightly satisfied,Somewhat confident,Yes,I am already a manager
174,Slightly satisfied,NA,NA,NA
175,NA,NA,NA,NA
176,Very satisfied,Very confident,Yes,Yes
177,Slightly satisfied,Very confident,Yes,Yes
178,Neither satisfied nor dissatisfied,NA,NA,NA
179,Slightly dissatisfied,Somewhat confident,Yes,Yes
180,NA,NA,NA,NA
181,Very satisfied,Very confident,No,Not sure
182,NA,I don't have a manager,Not sure,Not sure
183,Neither satisfied nor dissatisfied,Somewhat confident,Not sure,Not sure
184,Slightly satisfied,Somewhat confident,No,Not sure
185,Very satisfied,Somewhat confident,No,Not sure
186,NA,NA,NA,NA
187,Very satisfied,Very confident,No,Not sure
188,Very satisfied,Very confident,No,Yes
189,Slightly satisfied,Somewhat confident,Yes,Yes
190,Slightly satisfied,Very confident,No,No
191,Slightly satisfied,Somewhat confident,No,Not sure
192,Slightly dissatisfied,Not at all confident,Not sure,Not sure
193,Very dissatisfied,NA,NA,NA
194,Slightly satisfied,Somewhat confident,Not sure,No
195,NA,NA,NA,NA
196,Very dissatisfied,Not at all confident,Yes,I am already a manager
197,Slightly dissatisfied,Somewhat confident,Yes,Yes
198,Very satisfied,NA,NA,NA
199,NA,NA,NA,NA
200,Neither satisfied nor dissatisfied,Very confident,No,Not sure
201,Very dissatisfied,Not at all confident,No,No
202,Very satisfied,Somewhat confident,No,No
203,NA,NA,NA,NA
204,NA,NA,NA,NA
205,Very dissatisfied,Very confident,No,No
206,Very satisfied,Very confident,Not sure,No
207,Neither satisfied nor dissatisfied,Very confident,No,No
208,NA,NA,NA,NA
209,Slightly dissatisfied,Somewhat confident,No,No
210,Slightly satisfied,Very confident,No,Not sure
211,Slightly dissatisfied,Very confident,No,Yes
212,Very satisfied,Very confident,Not sure,Not sure
213,Very dissatisfied,Somewhat confident,Yes,No
214,Slightly satisfied,Very confident,No,No
215,Slightly dissatisfied,Not at all confident,No,No
216,Slightly dissatisfied,Not at all confident,Yes,Not sure
217,Very satisfied,Somewhat confident,No,Not sure
218,Very satisfied,Very confident,Yes,Not sure
219,Very dissatisfied,Very confident,No,I am already a manager
220,Neither satisfied nor dissatisfied,Not at all confident,No,Yes
221,Neither satisfied nor dissatisfied,Very confident,No,I am already a manager
222,Very satisfied,NA,NA,NA
223,Slightly dissatisfied,Not at all confident,Not sure,Yes
224,Very satisfied,Very confident,No,No
225,Slightly satisfied,Somewhat confident,No,Yes
226,NA,NA,NA,NA
227,Very satisfied,Very confident,No,Not sure
228,NA,NA,NA,NA
229,Slightly satisfied,Very confident,Yes,Yes
230,Slightly dissatisfied,Somewhat confident,No,No
231,Very satisfied,Very confident,No,Yes
232,Slightly satisfied,Somewhat confident,No,Not sure
233,Slightly dissatisfied,Somewhat confident,No,No
234,Neither satisfied nor dissatisfied,Somewhat confident,Yes,No
235,NA,NA,NA,NA
236,Very dissatisfied,Not at all confident,No,Not sure
237,Very satisfied,Very confident,Not sure,Not sure
238,Very dissatisfied,Not at all confident,Yes,I am already a manager
239,Slightly satisfied,Very confident,Yes,Yes
240,NA,NA,NA,NA
241,Very satisfied,Very confident,No,Not sure
242,Very satisfied,Very confident,Not sure,Yes
243,NA,NA,NA,NA
244,Slightly satisfied,Somewhat confident,Yes,No
245,Very satisfied,Not at all confident,Not sure,No
246,Slightly satisfied,Somewhat confident,Yes,No
247,Slightly dissatisfied,Somewhat confident,Yes,No
248,Slightly satisfied,Somewhat confident,No,Not sure
249,Slightly satisfied,Somewhat confident,Yes,Yes
250,Very satisfied,Very confident,No,Not sure
251,NA,NA,NA,NA
252,Very satisfied,Very confident,No,No
253,Very satisfied,Very confident,No,No
254,Slightly satisfied,Not at all confident,No,No
255,NA,NA,NA,NA
256,NA,NA,NA,NA
257,Slightly satisfied,Somewhat confident,Yes,No
258,Very satisfied,Very confident,Yes,Yes
259,Neither satisfied nor dissatisfied,Somewhat confident,Yes,Yes
260,Neither satisfied nor dissatisfied,NA,NA,NA
261,Very satisfied,Very confident,No,I am already a manager
262,Very satisfied,Very confident,No,Yes
263,Slightly satisfied,NA,NA,NA
264,Neither satisfied nor dissatisfied,Not at all confident,Not sure,Yes
265,Slightly satisfied,Somewhat confident,No,Not sure
266,Slightly satisfied,Somewhat confident,Yes,Not sure
267,Neither satisfied nor dissatisfied,Somewhat confident,Yes,Yes
268,Slightly satisfied,Somewhat confident,Not sure,Yes
269,Very satisfied,NA,NA,NA
270,NA,NA,NA,NA
271,Very satisfied,Somewhat confident,Not sure,Yes
272,NA,NA,NA,NA
273,Very dissatisfied,Somewhat confident,No,Not sure
274,Slightly satisfied,Not at all confident,No,No
275,Neither satisfied nor dissatisfied,Somewhat confident,Yes,Not sure
276,Slightly satisfied,Somewhat confident,Not sure,Yes
277,Neither satisfied nor dissatisfied,Very confident,No,No
278,Very satisfied,NA,NA,NA
279,Slightly satisfied,Somewhat confident,No,Not sure
280,Very satisfied,NA,NA,NA
281,Very satisfied,NA,NA,NA
282,Neither satisfied nor dissatisfied,NA,NA,NA
283,Slightly satisfied,Somewhat confident,Not sure,Not sure
284,NA,NA,NA,NA
285,Slightly satisfied,Somewhat confident,No,Not sure
286,Very satisfied,Very confident,Not sure,Not sure
287,Neither satisfied nor dissatisfied,NA,NA,NA
288,Neither satisfied nor dissatisfied,Somewhat confident,Yes,Yes
289,Slightly satisfied,Very confident,No,No
290,NA,NA,NA,NA
291,Neither satisfied nor dissatisfied,NA,NA,NA
292,Very satisfied,Very confident,No,Yes
293,Slightly satisfied,Somewhat confident,No,Not sure
294,NA,NA,NA,NA
295,NA,NA,NA,NA
296,NA,NA,NA,NA
297,Very satisfied,NA,NA,NA
298,Slightly satisfied,NA,NA,NA
299,Slightly dissatisfied,Very confident,No,Not sure
300,NA,NA,NA,NA
301,Slightly satisfied,Very confident,No,No
302,Neither satisfied nor dissatisfied,Somewhat confident,Yes,No
303,Slightly dissatisfied,NA,NA,NA
304,Very satisfied,Somewhat confident,Not sure,Not sure
305,Slightly satisfied,Somewhat confident,Not sure,Not sure
306,Very satisfied,Somewhat confident,Yes,Yes
307,NA,NA,NA,NA
308,Very satisfied,Very confident,No,Not sure
309,NA,NA,NA,NA
310,Slightly satisfied,Somewhat confident,No,No
311,Slightly dissatisfied,Somewhat confident,No,Not sure
312,Very satisfied,Very confident,Not sure,Not sure
313,Very dissatisfied,NA,NA,NA
314,Very satisfied,NA,NA,NA
315,Neither satisfied nor dissatisfied,Somewhat confident,Not sure,Not sure
316,Very satisfied,Very confident,Yes,Yes
317,Slightly satisfied,Somewhat confident,No,No
318,Slightly satisfied,Very confident,Yes,No
319,Slightly dissatisfied,Very confident,Yes,Yes
320,NA,NA,NA,NA
321,Very satisfied,Very confident,Yes,Yes
322,Neither satisfied nor dissatisfied,Somewhat confident,Yes,Yes
323,Slightly satisfied,NA,NA,NA
324,Neither satisfied nor dissatisfied,Somewhat confident,Yes,Yes
325,Slightly satisfied,NA,NA,NA
326,Neither satisfied nor dissatisfied,Somewhat confident,No,No
327,NA,NA,NA,NA
328,Slightly satisfied,Very confident,Yes,Yes
329,Neither satisfied nor dissatisfied,Not at all confident,No,No
330,Very satisfied,Very confident,No,Not sure
331,Very satisfied,Very confident,Yes,Yes
332,Slightly satisfied,Very confident,Yes,Yes
333,Slightly satisfied,Very confident,Not sure,Not sure
334,Slightly satisfied,Very confident,Yes,Not sure
335,Slightly satisfied,Very confident,No,No
336,NA,NA,NA,NA
337,Slightly satisfied,Somewhat confident,Yes,Not sure
338,Slightly satisfied,Very confident,No,No
339,Slightly dissatisfied,Somewhat confident,No,Yes
340,Slightly satisfied,Very confident,No,No
341,Slightly satisfied,Very confident,Yes,Yes
342,Slightly satisfied,NA,NA,NA
343,Slightly satisfied,Somewhat confident,Yes,I am already a manager
344,Neither satisfied nor dissatisfied,Somewhat confident,Yes,Yes
345,Slightly dissatisfied,I don't have a manager,Not sure,Not sure
346,NA,NA,NA,NA
347,Slightly dissatisfied,Very confident,Not sure,Not sure
348,Very dissatisfied,NA,NA,NA
349,Slightly dissatisfied,Very confident,Not sure,Not sure
350,NA,NA,NA,NA
351,Very satisfied,Very confident,Yes,Yes
352,Neither satisfied nor dissatisfied,Somewhat confident,Yes,No
353,Slightly satisfied,Not at all confident,No,Not sure
354,Neither satisfied nor dissatisfied,Very confident,Yes,Yes
355,Very satisfied,Very confident,No,Not sure
356,Very satisfied,Very confident,No,Yes
357,Neither satisfied nor dissatisfied,Not at all confident,Yes,Not sure
358,Very satisfied,Very confident,No,No
359,Slightly dissatisfied,Somewhat confident,No,Yes
360,Slightly satisfied,NA,NA,NA
361,Slightly satisfied,Somewhat confident,No,Not sure
362,Slightly satisfied,Somewhat confident,Not sure,Yes
363,Slightly satisfied,NA,NA,NA
364,Slightly satisfied,Very confident,Yes,Not sure
365,NA,Very confident,No,Yes
366,NA,NA,NA,NA
367,NA,Very confident,No,I am already a manager
368,Slightly satisfied,Not at all confident,Not sure,No
369,NA,NA,NA,NA
370,Very satisfied,Somewhat confident,Yes,Yes
371,Very satisfied,Somewhat confident,No,No
372,Neither satisfied nor dissatisfied,Not at all confident,No,Not sure
373,Slightly dissatisfied,Not at all confident,No,No
374,Very dissatisfied,Very confident,Yes,Yes
375,Neither satisfied nor dissatisfied,Somewhat confident,No,No
376,NA,NA,NA,NA
377,Neither satisfied nor dissatisfied,Somewhat confident,Yes,Yes
378,Very dissatisfied,Very confident,No,Not sure
379,NA,NA,NA,NA
380,Slightly satisfied,Very confident,No,No
381,NA,NA,NA,NA
382,Slightly dissatisfied,Not at all confident,Not sure,Yes
383,Very satisfied,Not at all confident,No,Not sure
384,Very satisfied,Very confident,No,Not sure
385,Very satisfied,NA,NA,NA
386,Very satisfied,Very confident,Not sure,No
387,NA,NA,NA,NA
388,Slightly dissatisfied,I don't have a manager,No,I am already a manager
389,Slightly satisfied,Somewhat confident,No,Not sure
390,Very satisfied,Not at all confident,Yes,No
391,NA,NA,NA,NA
392,Very satisfied,Very confident,Yes,No
393,Slightly satisfied,NA,NA,NA
394,Very dissatisfied,Very confident,No,Yes
395,Very satisfied,Somewhat confident,No,No
396,Very satisfied,I don't have a manager,Not sure,Not sure
397,NA,NA,NA,NA
398,Very satisfied,Very confident,No,Yes
399,Slightly dissatisfied,Very confident,Not sure,No
400,Very satisfied,Very confident,No,No
401,Slightly satisfied,Very confident,Yes,Not sure
402,Very dissatisfied,Somewhat confident,Yes,No
403,NA,NA,NA,NA
404,Very dissatisfied,Not at all confident,No,Yes
405,Slightly satisfied,Very confident,No,Not sure
406,Slightly satisfied,I don't have a manager,No,No
407,NA,NA,NA,NA
408,Slightly satisfied,Very confident,Not sure,I am already a manager
409,Very satisfied,NA,NA,NA
410,Slightly satisfied,Very confident,No,Yes
411,Slightly dissatisfied,I don't have a manager,No,Not sure
412,Slightly satisfied,Somewhat confident,No,Not sure
413,Very satisfied,Very confident,Yes,No
414,Slightly dissatisfied,Somewhat confident,Not sure,No
415,Very dissatisfied,Somewhat confident,No,No
416,Slightly dissatisfied,Somewhat confident,No,Yes
417,Very dissatisfied,Very confident,No,Yes
418,Slightly satisfied,NA,NA,NA
419,NA,NA,NA,NA
420,NA,NA,NA,NA
421,Very satisfied,Very confident,No,No
422,NA,NA,NA,NA
423,Very satisfied,Very confident,Not sure,Not sure
424,Very dissatisfied,Not at all confident,Yes,Yes
425,Neither satisfied nor dissatisfied,NA,NA,NA
426,Slightly satisfied,Very confident,No,No
427,Very dissatisfied,Somewhat confident,No,No
428,Slightly satisfied,Somewhat confident,Not sure,Not sure
429,Slightly dissatisfied,Very confident,Yes,Yes
430,NA,NA,NA,NA
431,NA,NA,NA,NA
432,Slightly satisfied,Very confident,Yes,Yes
433,NA,NA,NA,NA
434,Slightly satisfied,Somewhat confident,Yes,Yes
435,Neither satisfied nor dissatisfied,Not at all confident,No,Yes
436,Slightly satisfied,Somewhat confident,Yes,I am already a manager
437,Very satisfied,Somewhat confident,No,No
438,Very satisfied,NA,NA,NA
439,Slightly dissatisfied,Somewhat confident,No,Not sure
440,Very satisfied,Very confident,No,Not sure
441,NA,NA,NA,NA
442,Slightly satisfied,Somewhat confident,Not sure,Not sure
443,Very satisfied,Not at all confident,No,No
444,Very satisfied,Very confident,Not sure,No
445,Slightly satisfied,Somewhat confident,No,Not sure
446,Slightly satisfied,Very confident,Yes,Yes
447,Slightly satisfied,Somewhat confident,No,Not sure
448,Very satisfied,Very confident,No,No
449,Slightly satisfied,Very confident,No,No
450,Very satisfied,Somewhat confident,No,Yes
451,NA,NA,NA,NA
452,Very satisfied,Very confident,No,No
453,Slightly dissatisfied,Somewhat confident,Yes,Not sure
454,Very satisfied,Very confident,No,Not sure
455,Slightly dissatisfied,Somewhat confident,No,No
456,Slightly satisfied,Very confident,No,Not sure
457,Very satisfied,Very confident,Yes,Yes
458,NA,NA,NA,NA
459,Very satisfied,Very confident,No,No
460,Slightly satisfied,Very confident,No,Not sure
461,Slightly satisfied,Somewhat confident,No,No
462,Slightly dissatisfied,Somewhat confident,Yes,Not sure
463,Very satisfied,Very confident,Yes,Yes
464,Neither satisfied nor dissatisfied,Somewhat confident,Not sure,No
465,Very satisfied,NA,NA,NA
466,Slightly satisfied,Somewhat confident,No,No
467,Very satisfied,Somewhat confident,Yes,Yes
468,Very satisfied,Very confident,No,No
469,Very dissatisfied,Somewhat confident,Yes,Not sure
470,Slightly satisfied,NA,NA,NA
471,Very satisfied,Very confident,Not sure,Yes
472,NA,NA,NA,NA
473,Slightly satisfied,Very confident,Not sure,Not sure
474,Neither satisfied nor dissatisfied,Very confident,No,Yes
475,Slightly dissatisfied,Not at all confident,Not sure,Yes
476,Slightly dissatisfied,Very confident,No,Not sure
477,Very satisfied,NA,NA,NA
478,NA,NA,NA,NA
479,Very dissatisfied,Somewhat confident,Yes,Yes
480,NA,NA,NA,NA
481,Slightly satisfied,I don't have a manager,No,Not sure
482,NA,NA,NA,NA
483,Slightly dissatisfied,Somewhat confident,Not sure,Not sure
484,NA,NA,NA,NA
485,Very satisfied,Somewhat confident,Yes,No
486,Neither satisfied nor dissatisfied,NA,NA,NA
487,NA,NA,NA,NA
488,Slightly satisfied,NA,NA,NA
489,Neither satisfied nor dissatisfied,Not at all confident,Not sure,No
490,Very satisfied,Somewhat confident,No,Not sure
491,Very satisfied,Very confident,No,Not sure
492,NA,Not at all confident,No,No
493,NA,NA,NA,NA
494,NA,NA,NA,NA
495,NA,NA,NA,NA
496,Neither satisfied nor dissatisfied,Very confident,No,Yes
497,Neither satisfied nor dissatisfied,Not at all confident,No,No
498,Very satisfied,Very confident,No,Not sure
499,Very dissatisfied,Not at all confident,No,No
500,Slightly satisfied,Not at all confident,Yes,Yes
501,NA,NA,NA,NA
502,NA,NA,NA,NA
503,Slightly dissatisfied,Not at all confident,No,No
504,Slightly satisfied,NA,NA,NA
505,Neither satisfied nor dissatisfied,Very confident,Not sure,Yes
506,Slightly satisfied,NA,NA,NA
507,Slightly satisfied,NA,NA,NA
508,NA,NA,NA,NA
509,Slightly dissatisfied,NA,NA,NA
510,Slightly dissatisfied,Somewhat confident,Yes,Not sure
511,Very dissatisfied,NA,NA,NA
512,Slightly satisfied,Somewhat confident,Yes,I am already a manager
513,NA,I don't have a manager,Not sure,Not sure
514,Very satisfied,NA,NA,NA
515,NA,NA,NA,NA
516,Very satisfied,Somewhat confident,No,No
517,NA,NA,NA,NA
518,NA,NA,NA,NA
519,Very dissatisfied,Not at all confident,Yes,Yes
520,Slightly satisfied,Very confident,No,No
521,Slightly satisfied,Somewhat confident,Yes,No
522,NA,NA,NA,NA
523,NA,NA,NA,NA
524,Very satisfied,Very confident,Not sure,Not sure
525,Neither satisfied nor dissatisfied,Somewhat confident,Yes,Yes
526,Slightly satisfied,Not at all confident,Not sure,Not sure
527,Slightly satisfied,Very confident,No,Not sure
528,Slightly dissatisfied,Very confident,Not sure,Not sure
529,Slightly satisfied,Very confident,No,No
530,Slightly dissatisfied,Somewhat confident,Not sure,No
531,NA,NA,NA,NA
532,NA,NA,NA,NA
533,Slightly satisfied,Somewhat confident,Yes,Not sure
534,Slightly dissatisfied,I don't have a manager,Not sure,Yes
535,NA,NA,NA,NA
536,NA,NA,NA,NA
537,Very satisfied,Somewhat confident,No,No
538,NA,NA,NA,NA
539,Slightly satisfied,Very confident,Yes,No
540,Slightly dissatisfied,Somewhat confident,Not sure,Not sure
541,NA,NA,NA,NA
542,Very satisfied,Very confident,Yes,No
543,NA,NA,NA,NA
544,Very satisfied,NA,NA,NA
545,Slightly satisfied,NA,NA,NA
546,NA,NA,NA,NA
547,Slightly satisfied,Somewhat confident,No,Not sure
548,Very satisfied,NA,NA,NA
550,Slightly satisfied,Very confident,Yes,Not sure
551,Neither satisfied nor dissatisfied,Somewhat confident,No,No
552,NA,NA,NA,NA
553,Slightly satisfied,I don't have a manager,Not sure,Not sure
554,Slightly dissatisfied,Somewhat confident,No,No
555,Slightly satisfied,Somewhat confident,Not sure,No
556,Very satisfied,NA,NA,NA
557,Neither satisfied nor dissatisfied,Not at all confident,No,No
558,Very dissatisfied,Somewhat confident,Not sure,Not sure
559,Slightly satisfied,Very confident,Not sure,Yes
560,Very satisfied,NA,NA,NA
561,Slightly dissatisfied,Very confident,Yes,Yes
562,Slightly satisfied,Somewhat confident,No,Not sure
563,Slightly satisfied,Somewhat confident,Yes,Yes
564,Slightly satisfied,Somewhat confident,Yes,Not sure
565,Slightly satisfied,Somewhat confident,No,No
566,Very satisfied,Very confident,No,Not sure
567,Slightly dissatisfied,Not at all confident,No,Not sure
568,Neither satisfied nor dissatisfied,NA,NA,NA
569,Slightly dissatisfied,Not at all confident,No,No
570,NA,NA,NA,NA
571,Very satisfied,Somewhat confident,No,Not sure
572,Slightly satisfied,Not at all confident,Not sure,Not sure
573,Very satisfied,I don't have a manager,No,No
574,Slightly satisfied,Very confident,Not sure,Not sure
575,Slightly dissatisfied,Not at all confident,Yes,Yes
576,Slightly dissatisfied,NA,NA,NA
577,NA,NA,NA,NA
578,Very satisfied,Somewhat confident,Yes,Not sure
579,Neither satisfied nor dissatisfied,Very confident,Yes,Not sure
580,Slightly satisfied,Somewhat confident,No,No
581,Slightly satisfied,Somewhat confident,No,Not sure
582,Very satisfied,Very confident,No,No
583,Very satisfied,Somewhat confident,Not sure,No
584,NA,NA,NA,NA
585,NA,NA,NA,NA
586,Neither satisfied nor dissatisfied,Not at all confident,No,I am already a manager
587,Slightly satisfied,Very confident,No,Not sure
588,Very dissatisfied,Somewhat confident,No,Not sure
589,Slightly satisfied,Somewhat confident,No,Not sure
590,Very satisfied,Very confident,No,No
591,Very satisfied,Somewhat confident,No,Yes
592,Very dissatisfied,NA,NA,NA
593,NA,NA,NA,NA
594,Slightly satisfied,Very confident,No,No
595,Very dissatisfied,Not at all confident,No,Not sure
596,Slightly satisfied,Very confident,No,Not sure
597,Very satisfied,NA,NA,NA
598,Neither satisfied nor dissatisfied,Not at all confident,No,No
599,Slightly satisfied,Somewhat confident,Not sure,Not sure
600,NA,NA,NA,NA
601,Slightly satisfied,NA,NA,NA
602,Very satisfied,I don't have a manager,No,No
603,Very satisfied,Very confident,Yes,I am already a manager
604,Slightly satisfied,Somewhat confident,No,I am already a manager
605,Neither satisfied nor dissatisfied,Somewhat confident,Yes,Not sure
606,NA,NA,NA,NA
607,Very satisfied,Very confident,No,Not sure
608,Neither satisfied nor dissatisfied,Not at all confident,Yes,Yes
609,NA,NA,NA,NA
610,Slightly dissatisfied,Somewhat confident,Yes,Not sure
611,Slightly satisfied,NA,NA,NA
612,NA,NA,NA,NA
613,Slightly satisfied,Very confident,Not sure,Yes
614,Slightly dissatisfied,Not at all confident,Not sure,Not sure
615,Slightly satisfied,Very confident,Yes,Yes
616,Very satisfied,Very confident,No,No
617,Slightly satisfied,Somewhat confident,Yes,No
618,Neither satisfied nor dissatisfied,Very confident,Not sure,Not sure
619,Very dissatisfied,Somewhat confident,No,Yes
620,NA,NA,NA,NA
621,Very satisfied,Somewhat confident,No,Not sure
622,NA,NA,NA,NA
623,Very satisfied,Very confident,No,Not sure
